Date,Address,Price,PriceType,attr,Href,Pic_url
2023-09-28T14:59:49,"11 Warren Avenue, Three Kings, Auckland City",1000000,current,"{""House"": ""House"", ""Bedroom"": ""4"", ""Bathroom"": ""3"", ""Floor area"": ""225m"", ""Garage"": ""2""}",https://www.realestate.co.nz/42432116/residential/sale/11-warren-avenue-three-kings,"https://mediaserver.realestate.co.nz/listings/42432116/7cba4105a931c2558dad3a7b3218ce97.crop.10x8.jpg?options=compress,blur"
2015-06-30,"7 Tauhinu Road, Greenhithe, North Shore City",1250000,history,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""3"", ""Land area"": ""1100m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42434677/residential/sale/7-tauhinu-road-greenhithe,"https://mediaserver.realestate.co.nz/listings/42434677/18dad149fbdf16fb00c3072d7ec6282f.crop.10x8.jpg?options=compress,blur"
1993-12-09,"7 Tauhinu Road, Greenhithe, North Shore City",236000,history,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""3"", ""Land area"": ""1100m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42434677/residential/sale/7-tauhinu-road-greenhithe,"https://mediaserver.realestate.co.nz/listings/42434677/18dad149fbdf16fb00c3072d7ec6282f.crop.10x8.jpg?options=compress,blur"
1993-12-03,"7 Tauhinu Road, Greenhithe, North Shore City",236000,history,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""3"", ""Land area"": ""1100m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42434677/residential/sale/7-tauhinu-road-greenhithe,"https://mediaserver.realestate.co.nz/listings/42434677/18dad149fbdf16fb00c3072d7ec6282f.crop.10x8.jpg?options=compress,blur"
2021-06-01,"7 Tauhinu Road, Greenhithe, North Shore City",2050000,cv,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""3"", ""Land area"": ""1100m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42434677/residential/sale/7-tauhinu-road-greenhithe,"https://mediaserver.realestate.co.nz/listings/42434677/18dad149fbdf16fb00c3072d7ec6282f.crop.10x8.jpg?options=compress,blur"
2021-06-01,"7 Tauhinu Road, Greenhithe, North Shore City",1700000,cv,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""3"", ""Land area"": ""1100m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42434677/residential/sale/7-tauhinu-road-greenhithe,"https://mediaserver.realestate.co.nz/listings/42434677/18dad149fbdf16fb00c3072d7ec6282f.crop.10x8.jpg?options=compress,blur"
2023-10-04T00:08:38,"7 Tauhinu Road, Greenhithe, North Shore City",2000000,current,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""3"", ""Land area"": ""1100m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42434677/residential/sale/7-tauhinu-road-greenhithe,"https://mediaserver.realestate.co.nz/listings/42434677/18dad149fbdf16fb00c3072d7ec6282f.crop.10x8.jpg?options=compress,blur"
,"10 Makumaku Place, Long Bay, North Shore City",,,"{""Section"": ""Section"", ""Land area"": ""391m"", ""Title type"": ""Freehold""}",https://www.realestate.co.nz/42434946/residential/sale/10-makumaku-place-long-bay,"https://mediaserver.realestate.co.nz/listings/42434946/9cdb45fd9ccc2bcd471a3aec34232da0.crop.10x8.jpg?options=compress,blur"
2021-05-05,"17 Dedwood Terrace, Saint Marys Bay, Auckland City",3700000,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""2"", ""Land area"": ""304m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42439498/residential/sale/3-285-west-tamaki-road-waiotaiki-bay,"https://mediaserver.realestate.co.nz/listings/42439498/7e004aa6827518c624e4e127a1b684ae.crop.10x8.jpg?options=compress,blur"
1998-12-31,"17 Dedwood Terrace, Saint Marys Bay, Auckland City",700000,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""2"", ""Land area"": ""304m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42439498/residential/sale/3-285-west-tamaki-road-waiotaiki-bay,"https://mediaserver.realestate.co.nz/listings/42439498/7e004aa6827518c624e4e127a1b684ae.crop.10x8.jpg?options=compress,blur"
1998-10-31,"17 Dedwood Terrace, Saint Marys Bay, Auckland City",700000,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""2"", ""Land area"": ""304m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42439498/residential/sale/3-285-west-tamaki-road-waiotaiki-bay,"https://mediaserver.realestate.co.nz/listings/42439498/7e004aa6827518c624e4e127a1b684ae.crop.10x8.jpg?options=compress,blur"
1993-03-19,"17 Dedwood Terrace, Saint Marys Bay, Auckland City",194000,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""2"", ""Land area"": ""304m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42439498/residential/sale/3-285-west-tamaki-road-waiotaiki-bay,"https://mediaserver.realestate.co.nz/listings/42439498/7e004aa6827518c624e4e127a1b684ae.crop.10x8.jpg?options=compress,blur"
2021-06-01,"17 Dedwood Terrace, Saint Marys Bay, Auckland City",3600000,cv,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""2"", ""Land area"": ""304m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42439498/residential/sale/3-285-west-tamaki-road-waiotaiki-bay,"https://mediaserver.realestate.co.nz/listings/42439498/7e004aa6827518c624e4e127a1b684ae.crop.10x8.jpg?options=compress,blur"
2023-10-11T13:48:23,"17 Dedwood Terrace, Saint Marys Bay, Auckland City",3250000,current,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""2"", ""Land area"": ""304m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42439498/residential/sale/3-285-west-tamaki-road-waiotaiki-bay,"https://mediaserver.realestate.co.nz/listings/42439498/7e004aa6827518c624e4e127a1b684ae.crop.10x8.jpg?options=compress,blur"
,"3/285 West Tamaki Road, Waiotaiki Bay, Auckland City",,,"{""House"": ""House"", ""Bedroom"": ""5"", ""Bathroom"": ""4"", ""Land area"": ""276m"", ""Title type"": ""Freehold"", ""Garage"": ""2""}",https://www.realestate.co.nz/42439419/residential/sale/17-dedwood-terrace-saint-marys-bay,"https://mediaserver.realestate.co.nz/listings/42439419/5b73e5b3a02b1edab06718e3727bab26.crop.10x8.jpg?options=compress,blur"
2014-05-31,"10 Voyager Drive, Gulf Harbour, Rodney",663000,history,"{""House"": ""House"", ""Bedroom"": ""4"", ""Bathroom"": ""2"", ""Floor area"": ""200m"", ""Land area"": ""393m"", ""Garage"": ""2""}",https://www.realestate.co.nz/42434063/residential/sale/10-voyager-drive-gulf-harbour,"https://mediaserver.realestate.co.nz/listings/42434063/13fae667b0b5b04174828e0935aee76d.crop.10x8.jpg?options=compress,blur"
2021-06-01,"10 Voyager Drive, Gulf Harbour, Rodney",1075000,cv,"{""House"": ""House"", ""Bedroom"": ""4"", ""Bathroom"": ""2"", ""Floor area"": ""200m"", ""Land area"": ""393m"", ""Garage"": ""2""}",https://www.realestate.co.nz/42434063/residential/sale/10-voyager-drive-gulf-harbour,"https://mediaserver.realestate.co.nz/listings/42434063/13fae667b0b5b04174828e0935aee76d.crop.10x8.jpg?options=compress,blur"
2023-10-03T11:44:35,"10 Voyager Drive, Gulf Harbour, Rodney",1075000,current,"{""House"": ""House"", ""Bedroom"": ""4"", ""Bathroom"": ""2"", ""Floor area"": ""200m"", ""Land area"": ""393m"", ""Garage"": ""2""}",https://www.realestate.co.nz/42434063/residential/sale/10-voyager-drive-gulf-harbour,"https://mediaserver.realestate.co.nz/listings/42434063/13fae667b0b5b04174828e0935aee76d.crop.10x8.jpg?options=compress,blur"
2016-04-30,"52 Richards Avenue, Forrest Hill, North Shore City",1350000,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Land area"": ""645m"", ""Title type"": ""Freehold"", ""Garage"": ""1""}",https://www.realestate.co.nz/42435110/residential/sale/65-john-andrew-drive-warkworth,"https://mediaserver.realestate.co.nz/listings/42435110/f9a603d867906302e561124d2e1641d3.crop.10x8.jpg?options=compress,blur"
2012-02-29,"52 Richards Avenue, Forrest Hill, North Shore City",629000,history,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Land area"": ""645m"", ""Title type"": ""Freehold"", ""Garage"": ""1""}",https://www.realestate.co.nz/42435110/residential/sale/65-john-andrew-drive-warkworth,"https://mediaserver.realestate.co.nz/listings/42435110/f9a603d867906302e561124d2e1641d3.crop.10x8.jpg?options=compress,blur"
2021-06-01,"52 Richards Avenue, Forrest Hill, North Shore City",1825000,cv,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Land area"": ""645m"", ""Title type"": ""Freehold"", ""Garage"": ""1""}",https://www.realestate.co.nz/42435110/residential/sale/65-john-andrew-drive-warkworth,"https://mediaserver.realestate.co.nz/listings/42435110/f9a603d867906302e561124d2e1641d3.crop.10x8.jpg?options=compress,blur"
2023-10-11T12:42:51,"52 Richards Avenue, Forrest Hill, North Shore City",1800000,current,"{""House"": ""House"", ""Bedroom"": ""3"", ""Bathroom"": ""1"", ""Land area"": ""645m"", ""Title type"": ""Freehold"", ""Garage"": ""1""}",https://www.realestate.co.nz/42435110/residential/sale/65-john-andrew-drive-warkworth,"https://mediaserver.realestate.co.nz/listings/42435110/f9a603d867906302e561124d2e1641d3.crop.10x8.jpg?options=compress,blur"
