Date,Address,Price,PriceType,attr,Href,Pic_url,House,Floor area,Bedroom,Title type,Garage,Land area,Bathroom,Apartment,Section,Covered park,Townhouse
2023-09-27T16:44:41,"160 Ennis Avenue, Pakuranga, Manukau City",1200000.0,current,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Floor area': '130m', 'Land area': '558m', 'Covered park': '1'}",https://www.realestate.co.nz/42431555/residential/sale/160-ennis-avenue-pakuranga,"https://mediaserver.realestate.co.nz/listings/42431555/b86dffeaa0e541950367b00777a7d28f.crop.10x8.jpg?options=compress,blur",House,130m,4,,,558m,2,,,1,
2018-09-28,"8 Pheasant Close, Stanmore Bay, Rodney",965000.0,history,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '607m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42439489/residential/sale/8-pheasant-close-stanmore-bay,"https://mediaserver.realestate.co.nz/listings/42439489/819d3189a2299df0f85a1485352b3133.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,2,607m,2,,,,
2021-06-01,"8 Pheasant Close, Stanmore Bay, Rodney",1225000.0,cv,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '607m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42439489/residential/sale/8-pheasant-close-stanmore-bay,"https://mediaserver.realestate.co.nz/listings/42439489/819d3189a2299df0f85a1485352b3133.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,2,607m,2,,,,
2023-10-11T14:38:11,"8 Pheasant Close, Stanmore Bay, Rodney",1275000.0,current,"{'House': 'House', 'Bedroom': '4', 'Bathroom': '2', 'Land area': '607m', 'Title type': 'Freehold', 'Garage': '2'}",https://www.realestate.co.nz/42439489/residential/sale/8-pheasant-close-stanmore-bay,"https://mediaserver.realestate.co.nz/listings/42439489/819d3189a2299df0f85a1485352b3133.crop.10x8.jpg?options=compress,blur",House,,4,Freehold,2,607m,2,,,,
2008-09-09,"4 Fitzpatrick Place, Chatswood, North Shore City",649000.0,history,"{'House': 'House', 'Bedroom': '5', 'Bathroom': '3', 'Floor area': '260m', 'Land area': '663m'}",https://www.realestate.co.nz/42439244/residential/sale/4-fitzpatrick-place-chatswood,"https://mediaserver.realestate.co.nz/listings/42439244/ee17dc2c215fde29996d2d25c31d1d22.crop.10x8.jpg?options=compress,blur",House,260m,5,,,663m,3,,,,
2021-06-01,"4 Fitzpatrick Place, Chatswood, North Shore City",1500000.0,cv,"{'House': 'House', 'Bedroom': '5', 'Bathroom': '3', 'Floor area': '260m', 'Land area': '663m'}",https://www.realestate.co.nz/42439244/residential/sale/4-fitzpatrick-place-chatswood,"https://mediaserver.realestate.co.nz/listings/42439244/ee17dc2c215fde29996d2d25c31d1d22.crop.10x8.jpg?options=compress,blur",House,260m,5,,,663m,3,,,,
2023-10-11T11:41:09,"4 Fitzpatrick Place, Chatswood, North Shore City",1500000.0,current,"{'House': 'House', 'Bedroom': '5', 'Bathroom': '3', 'Floor area': '260m', 'Land area': '663m'}",https://www.realestate.co.nz/42439244/residential/sale/4-fitzpatrick-place-chatswood,"https://mediaserver.realestate.co.nz/listings/42439244/ee17dc2c215fde29996d2d25c31d1d22.crop.10x8.jpg?options=compress,blur",House,260m,5,,,663m,3,,,,
2021-06-01,"782 Ararimu Road, Ararimu, Franklin",1525000.0,cv,"{'Section': 'Lifestyle section', 'Bathroom': '1', 'Land area': '11.96ha', 'Title type': 'Freehold', 'Garage': '4'}",https://www.realestate.co.nz/42435834/rural/sale/782-ararimu-road-ararimu,"https://mediaserver.realestate.co.nz/listings/42435834/8f2b20f0ace41f9c86ffe433a50e8139.crop.10x8.jpg?options=compress,blur",,,,Freehold,4,11.96ha,1,,Lifestyle section,,
2023-10-05T11:58:22,"782 Ararimu Road, Ararimu, Franklin",1800000.0,current,"{'Section': 'Lifestyle section', 'Bathroom': '1', 'Land area': '11.96ha', 'Title type': 'Freehold', 'Garage': '4'}",https://www.realestate.co.nz/42435834/rural/sale/782-ararimu-road-ararimu,"https://mediaserver.realestate.co.nz/listings/42435834/8f2b20f0ace41f9c86ffe433a50e8139.crop.10x8.jpg?options=compress,blur",,,,Freehold,4,11.96ha,1,,Lifestyle section,,
,"P1/30 York Street, Parnell, Auckland City",,,"{'House': 'House', 'Bedroom': '3', 'Bathroom': '3', 'Floor area': '240m', 'Garage': '2'}",https://www.realestate.co.nz/42439576/residential/sale/p1-30-york-street-parnell,"https://mediaserver.realestate.co.nz/listings/42439576/332b0d9c4db515109645d47135f8e5b4.crop.10x8.jpg?options=compress,blur",House,240m,3,,2,,3,,,,
